Protein;MW;100K1;100K2;100K3;100K4;50K1;50K2;50K3;50K4;30K1;30K2;30K3;30K4;10K1;10K2;10K3;10K4
P01098;10062.47;8192.431640625;13157.587890625;12464.9462890625;10939.9814453125;17246.21484375;17990.630859375;17152.826171875;30063.84765625;119180.453125;48168.53125;58042.859375;48534.6640625;285463.71875;279773.78125;238431.25;260244.828125
P01119;34346.59;18712.736328125;20795.390625;23291.580078125;21868.26953125;28250.212890625;38100.91015625;32312.46875;30080.564453125;252681.828125;249094.265625;250071.546875;231285.65625;204385.78125;206733.265625;210464.15625;224491.515625
P01120;34705.19;214273.8125;212081.328125;214522.5625;216808.3125;620881.6875;658690.375;604282.25;663428.25;2035889.875;3089293.75;3197516.75;3107513.25;1637673.375;2101213.75;2734575.75;2806141.25
P01123;23214.24;25297.955078125;31138.9921875;31086.3359375;24932.4609375;38921.9140625;30275.130859375;38966.0859375;37912.87109375;239068.765625;24404.326171875;23879.201171875;28735.080078125;319806;274872.625;202374.875;273030.4375
P02293;14252.32;6555077;5915484;5112761;4171181.75;0;0;0;0;286897.375;617122.5;781067.6875;741304.0625;2302624.25;2020329.25;1724761.5;1466147.5
P02294;14237.3;61005.76953125;60066.42578125;61269.6640625;51286.1796875;510419.96875;553760.4375;488991.71875;543638;16821.2109375;7149.30322265625;26277.1015625;16914.5234375;206624.3125;199080.25;138957.703125;187292.375
P02309;11368.31;260414.3125;298731.15625;249888.0625;328001.34375;0;0;0;0;22512.87890625;42449.17578125;59295.2734375;35913.73828125;202182.015625;164576.0625;129224.6796875;116827.515625
P02400;11050.1;238585.453125;389212.25;329393.1875;291167.84375;333239.15625;257450.234375;302237.03125;206028.03125;3831973;588282.4375;654673.625;1020463.375;761529.5625;720740.375;954012.875;743230.625
P02406;16721.54;1153121.625;1165410.75;924676.25;920571.25;73536.6015625;72228.7265625;53499.13671875;111997.0390625;109759.9765625;300840.5625;329877.53125;341025.1875;1806215.625;1395334.25;1058666.5;889443.625
P02557;50922.7;233741.84375;211897.078125;209289.890625;251478.9375;60248.71875;68087.8359375;79383.3515625;45287.27734375;0;0;0;0;80785.234375;80621.84375;66354.46875;69634.625
P02829;81406.39;2162653.75;2552971.25;3064415.5;3487753;1325193;1255758.75;1410943;1180877.25;1616398.375;1590233.5;1481823.75;1582057;1584773.375;1404593.5;1261465.125;1298669.375
P02992;47972.09;246488.421875;283893.3125;295688.34375;268620.53125;329447.1875;405656.5625;395701.71875;212904.40625;1228879.25;320726.46875;381580.3125;407937.28125;680429.4375;606893.375;519381.5;489185.71875
P02994;50032.68;2789012;2510480.75;2616642.5;2705201.75;3374087.75;3188745.25;2960469.25;4791393.5;15741882;17129100;16465635;15310492;66725284;59483520;52807392;46581344
P03872;33196.01;21677.498046875;22451.1640625;19437.220703125;16225.6318359375;13910.609375;10603.1962890625;11390.08203125;19573.146484375;71777.890625;49194.6953125;58750.19140625;52739.6484375;309518.71875;285432.3125;249117.484375;221877.25
P03962;29239.5;36779.42578125;57204.421875;53664.39453125;65703.1796875;131067.09375;217921.234375;190337.421875;55755.0625;753957.75;144882.453125;156083.671875;209729.109375;0;0;0;0
P03965;123915.33;11369.12890625;13394.2568359375;14654.7333984375;30287.185546875;0;0;0;0;0;0;0;0;0;0;0;0
P04037;17142.56;2933.98022460938;6239.0419921875;3065.68627929688;5409.2119140625;19550.50390625;15637.7470703125;14073.236328125;16855.37109375;116074.171875;104858;106689.3671875;102425.15625;135617.65625;163591.703125;206646.8125;194936.1875
P04046;56719.36;156540.296875;214661.109375;227772.828125;274652.1875;20261.6328125;21806.796875;29306.029296875;8440.9228515625;0;0;0;0;226513.359375;161748.96875;137584.78125;116472.671875
P04050;191611.63;82583.9609375;127908.3359375;115666.6015625;149412.84375;0;0;0;0;0;0;0;0;50939.85546875;52184.70703125;37255.44140625;31534.40625
P04076;51989.13;109429.953125;86455.15625;65469.05078125;96773.2890625;86129.2578125;71218.3515625;106744.6875;21381.705078125;249467.15625;36650.7890625;63188.7890625;69089.5234375;0;0;0;0
P04147;64344.2;1259318.25;1294955.75;1323416.125;1337807.25;1891534;1724885.25;1643861.625;1759173.125;5194063.5;6444614;6390915.5;6487418;11196640;10749818;11195063;10935778
P04161;23540.17;5063.21630859375;17238.4765625;11342.8623046875;17115.95703125;32943.546875;41499.6640625;32090.65234375;17466.58984375;510400.96875;67246.2265625;71336.421875;90868.3203125;55282.50390625;42153.67578125;6890.27001953125;62752.07421875
P04173;38952.88;53951.15625;58627.5546875;65119.6796875;59405.76953125;78875.0625;81801.8671875;75225.7421875;85223.4140625;217653;107218.140625;106153.578125;116400.7421875;498541.15625;424291.4375;378272;363159.75
P04449;17613.55;6120316.5;5451904.5;4313972.5;4034163.25;44405.62890625;49361.44140625;38158.57421875;32097.18359375;65607.0078125;111366.2109375;115228.609375;102529.84375;626488;606090.8125;519588.84375;508526.46875
P04456;15757.56;1721968.625;1502591.25;1363615.125;1764333.375;47015.84375;52811.8671875;57610.98828125;42077.15234375;103875.796875;48507.203125;38106.5078125;33279.69140625;314554.71875;286456.53125;231100.8125;231699.1875
P04650;6341.57;3359048.5;2588581.75;2114179.25;1637746;0;0;0;0;0;0;0;0;0;0;0;0
P04786;89995.48;0;0;0;0;0;0;0;0;25773.220703125;67415.0703125;75234.046875;75915.1796875;163937.71875;127343.3515625;128653.0234375;158657.1875
P04801;84520.42;467628.59375;452160.46875;529549;490096.15625;782436.6875;709632.9375;667738.125;958878.25;1908768.125;2269613.5;2063130.5;1907795.375;9508573;9832684;9043595;8758529
P04802;63515.51;320075.21875;340459.09375;375524.96875;344344.84375;427694.15625;433673.71875;389480.0625;559934.375;1834534.75;2240504.25;1912497.875;1916082.375;5787763;4832566;4383063.5;4517309
P04806;53738.4;531413.1875;617217.9375;666440.6875;701930.5;1573591;1894323.75;1952710.25;868612.1875;4154380.25;856414.25;1141236.125;1431474.125;1182602.875;1085748.125;932858.4375;867760.6875
P04807;53942.46;1463502.625;1625683.625;1848500.25;1716379.25;2282407.25;2763997;2712008.5;1285604;7361694.5;1178794.5;1493489;1756612.875;2422723.5;2122177.25;1841157.375;1803883.75
P04817;65785.47;0;0;0;0;0;0;0;0;0;0;0;0;85797.765625;53312.35546875;51295.4140625;50992.8359375
P04821;179091.96;4990.9619140625;16933.2734375;14851.595703125;16727.056640625;15856.279296875;7643.87890625;31614.029296875;20817.587890625;39488.0625;42644.94140625;42813.78125;42758.48046875;219772.109375;195448.171875;172871.078125;196888.84375
P04840;30428.49;939242.6875;1042399.6875;1193174;1225278.875;70009.9140625;55053.35546875;53578.421875;75346.6796875;104604.375;140862.21875;132799.59375;152799.84375;542105.0625;411294.25;337264.03125;281642.25
P04911;13989.16;4650047.5;4024986;3655083;2682071.75;225595.65625;210177.21875;194638.671875;281920.5625;491885.65625;737979.3125;736195.625;728060.3125;5648924.5;4749354.5;3742001.25;3193348.25
P05030;99619.37;776875;875308.5625;1003024.3125;1139062;24062.41015625;22338.53125;19734.376953125;35110.9765625;28853.314453125;36426.16015625;36049.8203125;32247.39453125;264537.0625;223771.25;198354.9375;191451.09375
P05317;33717.24;966551.25;916589.6875;993744.8125;1205567.125;169438.40625;167734.984375;133532.171875;299792.6875;503871.4375;483509.5625;419411.4375;441567.625;3412659.25;2481747.25;2148361.75;1958094.375
P05318;10907.94;2263622.25;2182186.5;2787598.5;1973376.625;2172954.5;1575894.375;1683777.875;2048855.25;2588014.75;1177324.875;1126560.875;1534031.25;524302;497459.53125;514550.0625;323695.59375
P05319;10745.79;4560790.5;6897922.5;5747223.5;4840010.5;5244547.5;3595201.75;4204013;3296360.75;6439900.5;2854751.25;5499536;6945474.5;5541644.5;5472889;5518354.5;5631252
P05373;37740.22;48981.8984375;78914.3203125;83772.0234375;146672.59375;0;0;0;0;0;0;0;0;0;0;0;0
P05453;76550.89;70166.0703125;78879.46875;92954.6015625;83585.53125;112669.3046875;107503.5625;118209.3515625;125956.4921875;279043.09375;422896.125;369386.03125;396798.59375;742234.875;726754.125;685253;639598.6875
P05626;26925.07;0;0;0;0;0;0;0;0;17204.423828125;10514.423828125;20530.958984375;11055.53125;137709.09375;95845.1328125;99887.7109375;72454.6953125
P05694;85859.94;756067.9375;1026981.4375;1284201;1252861.5;1247396.875;1938139.125;2103235.25;590722.125;525302.5;131877.375;166969.09375;144552.875;193617.90625;173237.75;98342.734375;186224.671875
P05737;27638.23;4755450;4938872.5;5060920;4971711.5;271086.1875;288548.59375;242585.75;397240.625;201684.21875;403801.65625;622455.125;570933.625;9296614;8304179;7676383;7656154.5
P05738;21569.01;165291.046875;190400.390625;148198.859375;210234.984375;14382.1337890625;10585.04296875;10947.7021484375;11142.2138671875;0;0;0;0;17589.255859375;22474.83203125;16144.0478515625;12009.8310546875
P05739;19986.48;404719.6875;546793;708366.6875;717479;43224.41796875;54177.390625;46230.1484375;65457.0390625;127092.5078125;191003.75;172307.15625;160433.25;1062334.75;887011.125;805072.6875;844916
P05740;20549.44;6238228;6187235.5;4853398;4064613;41594.7890625;35254.8515625;31904.609375;12484.5908203125;0;0;0;0;0;0;0;0
P05743;14233.71;8012643;7646780;6571529.5;5859290.5;158441.703125;126391.7421875;112173.1796875;129589.2109375;0;0;0;0;182690.015625;144708.859375;135775.1875;123861.1328125
P05744;12154.09;659955.75;719876.6875;743802;967075.5625;0;0;0;0;12517.9951171875;7392.40380859375;11352.0966796875;7730.6044921875;0;0;0;0
P05745;11124.17;632591.375;237752.21875;152831.328125;159798.25;0;0;0;0;0;0;0;0;84265.9609375;143249.375;104678.8984375;96027.1640625
P05747;6668.79;1840342.125;1642018.75;1370913.5;1579535.375;0;0;0;0;0;0;0;0;0;0;0;0
P05748;24422.17;961890.9375;1039845.0625;1089483.875;1591602.5;0;0;0;0;0;0;0;0;0;0;0;0
P05749;13693.39;165170.609375;199872.796875;192651.859375;238683.453125;13689.06640625;12230.8037109375;8552.6259765625;8640.1083984375;51223.65625;68716.0390625;85210.4921875;77677.4921875;0;0;0;0
P05750;26502.75;1547184.25;1742813.625;1982149.875;2967231.75;114156.265625;101896.0546875;101326.9921875;188570.109375;164411.71875;243533.8125;225541.953125;238904.40625;2474713;2169567.75;1954030;2053336.375
P05755;22298.66;1535926.625;1760641.75;1966469.875;2931817.25;76358.921875;73959.078125;68371.4375;85125.625;53457.58984375;71210.8984375;54800.7421875;58755.1484375;642410.375;483435.3125;368481.625;334265.3125
P05756;17028.89;828372.875;978448.25;972353.1875;1312168.625;0;0;0;0;0;0;0;0;0;0;0;0
P05759;17216.11;1385835.625;1289130.75;1109065.125;1068054.625;18321.48046875;22153.494140625;18420.853515625;26643.498046875;99058.765625;144585.84375;163346.09375;142950.28125;1287932.75;1111967.125;948480.6875;854842.75
P06101;58385.02;178619.8125;172067.09375;191208.8125;162396.984375;576407.8125;486760.03125;523395.625;577083.8125;1449325.75;1893531.375;1881180.375;1700162.25;457923.40625;484702.125;533668.0625;566558.5
P06102;94403.12;28919.595703125;27901.080078125;31815.173828125;28496.27734375;153273.46875;142572.9375;136083.25;179201.0625;291548.21875;539767.25;511510.65625;512028.125;1211454.25;1217140.625;1170926.25;1151944.625
P06103;88129.88;12245.220703125;15179.5537109375;13906.564453125;15478.845703125;0;0;0;0;25902.767578125;37863.75;32872.1875;22886.91015625;143697.625;151264.59375;119961.03125;95856.5078125
P06104;19705.69;81313.53125;93478.1328125;95926.0703125;77620.484375;167685.84375;161174.15625;147872.3125;130540.5703125;542944.75;552425.6875;643763.0625;630739.5;105037.234375;193286.5625;306409.6875;266290.34375
P06105;134809.63;229803.21875;243144;275827.46875;268537;374452.21875;322729.5625;299158.875;359715.875;891432.125;1203745.75;1157616;1215753.25;2811018.75;2425537.25;2266258.25;2216768.75
P06106;48671.71;205440.515625;215974.40625;222170.0625;250590.671875;32088.580078125;35115.140625;56153.84375;19931.7421875;0;0;0;0;0;0;0;0
P06168;44368.45;173485.53125;233018.484375;231511.359375;219264.4375;1047778.1875;1267336.375;1215495.5;677497.3125;2350433;435011.03125;588706.625;726621.9375;84712.375;86105.921875;65756.2578125;84143.875
P06169;61495.38;4507001.5;4354420.5;4780990;6513530;1758715.75;2916297.5;3809240.75;1087800.875;1943702.125;383405.65625;417684.6875;468483.84375;950679.9375;782505.875;713425.0625;621596.75
P06174;30911.58;7107.2314453125;9855.6884765625;9831.5615234375;12266.4990234375;31591.74609375;47191.05078125;38948.390625;12621.5029296875;168356.796875;131349.578125;100371.453125;87077.1875;79957.90625;71907.640625;38295.73828125;93130.5625
P06182;30080.84;52740.3984375;21067.8828125;15143.3662109375;24401.83203125;0;0;0;0;0;0;0;0;0;0;0;0
P06208;68408.89;28075.564453125;36696.375;32292.33984375;34213.890625;13556.9287109375;16487.7109375;19764.2421875;6642.65966796875;9920.1416015625;20254.248046875;13655.8837890625;21502.111328125;0;0;0;0
P06245;44219.5;13218.46484375;14948.337890625;3955.20483398438;8879.8076171875;9150.17578125;10872.869140625;8768.7177734375;22917.748046875;22328.166015625;36015.8046875;54091.16796875;28441.85546875;159851.09375;159450.34375;137949.78125;114534.7109375
P06367;14536.61;888974.8125;836472.0625;815880.875;859588.5625;125562.0546875;116489.703125;106780.7578125;137506.53125;56287.99609375;104075.78125;109591.2109375;118169.015625;764083.25;574115.875;547504.125;434156.5
P06633;23833.17;22922.30078125;35433.84375;32945.06640625;39482.94921875;0;0;0;0;0;0;0;0;0;0;0;0
P06634;65552.83;93447.8984375;99139.765625;107302.5703125;115500.796875;44615.69140625;44802.4375;42282.29296875;58524.1484375;133062.78125;132361.53125;119776.3984375;115881.65625;2626463.5;2124897.75;1812906.375;1538175.25
P06700;63261.9;0;0;0;0;13979.162109375;14709.0517578125;12088.19140625;14684.01953125;19520.740234375;30022.828125;28497.171875;26220.048828125;97905.0625;108884.21875;103599.28125;109502.7890625
P06704;18751.05;34707.6015625;36062.6953125;35672.640625;35383.625;86584.7890625;68110.59375;76555.7109375;76123.078125;113863.3125;227453.75;264508.90625;251941.125;48206.51171875;43973.63671875;56049.30859375;44476.46484375
P06738;103275.32;73473.3125;34034.52734375;22492.6015625;29948.765625;19718.06640625;16636.98046875;18903.1171875;8984.4609375;14697.1943359375;18603.95703125;23319.78515625;36371.94140625;74694.0546875;135551.296875;93932.953125;83246.53125
P06774;29867.16;9609.7265625;6079.82421875;7575.16455078125;8209.208984375;8801.01953125;11483.5693359375;8677.98046875;16776.48046875;42977;53691.19921875;66021.7265625;52123.25;198436.953125;185961.1875;156550.203125;184700.703125
P06778;52403.6;7172.72705078125;12609.5791015625;8108.3701171875;7211.931640625;21484.556640625;24649.34765625;23347.318359375;26844.611328125;88661.96875;136694.28125;127453.9453125;110826.484375;184652.078125;168855.8125;143134.59375;175221
P06780;23152.45;250635.53125;261055.453125;236763.546875;274912.375;53738.1640625;59783.16796875;44288.91015625;25886.01171875;66957.3359375;235898.40625;115313.53125;102380.0703125;201836.546875;184572.09375;150109.484375;167508.953125
P06783;53708.15;38150.8359375;37310.01171875;31439.392578125;29238.708984375;53288.64453125;35757.05859375;36685.61328125;49775.171875;102245.9453125;152792.609375;159372.703125;170376.890625;228439.09375;214725.03125;234305.5;199101.46875
P06785;35047.25;14961.765625;21688.6796875;19394.447265625;18868.83203125;29311.103515625;49583.66796875;49707.6015625;13915.3525390625;0;0;0;0;0;0;0;0
P06786;164214.72;17091.232421875;14688.5068359375;19097.474609375;17058.931640625;34868.4375;28929.509765625;37601.84765625;41675.4921875;49986.11328125;53204.09375;64807.08984375;50865.828125;232112.328125;187122.578125;127274.2421875;123877.859375
P06787;16134.86;549032.1875;737380.75;690297.5;590414.5625;1415696.5;1258173.25;1250479.625;1317609.375;8074732;4120551;4534302.5;5105394;1808949.375;2775051.5;3463103.5;2715822.75
P06838;24311.35;0;0;0;0;0;0;0;0;0;0;0;0;55282.86328125;45758.453125;27958.703125;35511.26171875
P06843;38551.33;7463.90625;8076.7431640625;5750.00634765625;5305.0107421875;27189.306640625;29289.853515625;25693.39453125;50517.44921875;60489.578125;98405.9609375;94670.8125;81649.7578125;880314.8125;866454.4375;766909.4375;807815.75
P07149;228691.28;65027.0234375;84762.453125;103787.1171875;166335.015625;0;0;0;0;0;0;0;0;22806.494140625;12990.6455078125;12802.8955078125;16084.80859375
P07170;24254.75;7178653;5210386;4777882.5;4967898.5;15131979;14775272;12975844;17664504;43460292;57462428;61732908;49160208;9218489;18904970;27736848;25828252
P07172;42646.11;12499.619140625;15362.7021484375;12280.29296875;12912.6357421875;51219.96484375;59690.77734375;53990.140625;19845.248046875;97362.09375;39173.12890625;32727.84765625;55812.8984375;0;0;0;0
P07213;70123.17;141939.96875;158701.6875;178444.90625;169857.125;234578.3125;209297.546875;207334.609375;246783.125;343305.28125;372201.09375;361938.40625;408038.625;539303.8125;546493.5625;502374.03125;488520.53125
P07244;86068.03;58501.375;79928.1171875;94520.4921875;114850.40625;93167.4921875;92376.40625;97956.515625;105942.6484375;147293.3125;98157.8125;103372.4453125;115217.8671875;230514.40625;220050.09375;216229.90625;246543.59375
P07245;102205.12;187014.484375;232181.671875;264008.03125;347858.5;52097.59375;84446.6328125;122838.796875;28087.72265625;13794.8515625;57243.41015625;27173.953125;135257.78125;140225.75;121982.96875;64499.84375;68573.0390625
P07246;40369.51;35105.88671875;37568.38671875;43750.8515625;40394.3515625;44596.6875;31669.8046875;47907.97265625;34803.546875;364856.40625;51088.61328125;55717.8828125;103172.875;380603.875;292836.90625;190724.75;184306.421875
P07251;58608;501959.40625;572089.3125;559599.5;597483.625;816485.25;1134208.875;1101721.875;564959.5;1986082.375;1291639;1166078.75;1228060.75;1565010.125;1325848.375;1328776.75;1137195
P07256;50227.82;16270.6337890625;16982.10546875;22117.236328125;22519.955078125;10149.056640625;14986.7587890625;22351.625;9962.0810546875;0;0;0;0;17608.74609375;21181.240234375;15276.68359375;8882.0478515625
P07257;40478.14;76513.828125;80037.9296875;81757.390625;70369.859375;56486.9765625;41557.328125;61807.3671875;40429.0859375;18866.775390625;29596.0625;30701.939453125;30415.833984375;71368.21875;45187.890625;32096.822265625;29128.470703125
P07259;245040.76;27030.091796875;32688.3046875;40455.57421875;52728.7578125;5904.2392578125;8491.1328125;7427.09033203125;7624.125;14095.015625;7666.779296875;12825.052734375;9577.0439453125;64632.91015625;52956.26953125;49057.06640625;43932.546875
