"Gene > Standard Name","Gene > Systematic Name","Gene > Name","Gene > Homologues > Homologue > Standard Name","Gene > Homologues > Homologue > Name","Gene > Homologues > Homologue . Organism . Short Name","Gene > Homologues > Homolog Gene Identifier","Gene > Homologues > Homologue > Cross References > Identifier","Gene > Homologues > Homologue > Diseases > Identifier","Gene > Homologues > Homologue > Diseases > Name","Gene > Homologues > Data Sets > Data Source > Name","Gene > Homologues > Algorithms","Gene > Homologues > Algorithms Match","Gene > Homologues > Algorithms Attempted"
"AAD14","YNL331C","Aryl-Alcohol Dehydrogenase","AKR7L","aldo-keto reductase family 7-like (gene/pseudogene)","H. sapiens","246181","608478","","","DiOPT","Ensembl Compara|OrthoInspector|InParanoid","3","9"
"AAH1","YNL141W","Adenine AminoHydrolase","ADA","adenosine deaminase","H. sapiens","100","608958","102700","SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-NEGATIVE, NK CELL-NEGATIVE, DUE TO ADENOSINE DEAMINASE DEFICIENCY","DiOPT","OrthoInspector|OMA|SonicParanoid|Hieranoid|InParanoid","5","9"
"AAP1","YHR047C","Arginine/alanine AminoPeptidase","NPEPPS","aminopeptidase puromycin sensitive","H. sapiens","9520","606793","","","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|Hieranoid|Ensembl Compara|InParanoid","7","9"
"AAT2","YLR027C","Aspartate AminoTransferase","GOT1","glutamic-oxaloacetic transaminase 1, soluble","H. sapiens","2805","138180","614419","ASPARTATE AMINOTRANSFERASE, SERUM LEVEL OF, QUANTITATIVE TRAIT LOCUS 1","DiOPT","OrthoInspector|OMA|OrthoFinder|Hieranoid|SonicParanoid|PhylomeDB|PANTHER|InParanoid","8","9"
"AAT2","YLR027C","Aspartate AminoTransferase","GOT2","glutamic-oxaloacetic transaminase 2, mitochondrial","H. sapiens","2806","138150","","","DiOPT","SonicParanoid|OrthoInspector|Ensembl Compara|InParanoid","4","9"
"ABD1","YBR236C","","RNMT","RNA (guanine-7-) methyltransferase","H. sapiens","8731","603514","","","DiOPT","OrthoInspector|OrthoFinder|Hieranoid|SonicParanoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","8","9"
"ABF2","YMR072W","ARS-Binding Factor","HMGB1","high mobility group box 1","H. sapiens","3146","163905","","","DiOPT","OMA|SonicParanoid|PANTHER|Ensembl Compara|InParanoid","5","9"
"ABF2","YMR072W","ARS-Binding Factor","HMGB2","high mobility group box 2","H. sapiens","3148","163906","","","DiOPT","Ensembl Compara|OMA|InParanoid|PANTHER","4","9"
"ABF2","YMR072W","ARS-Binding Factor","HMGB3","high mobility group box 3","H. sapiens","3149","300193","300915","MICROPHTHALMIA, SYNDROMIC 13; MCOPS13","DiOPT","OMA|SonicParanoid|PANTHER|Ensembl Compara|InParanoid","5","9"
"ABP1","YCR088W","Actin Binding Protein","CTTN","cortactin","H. sapiens","2017","164765","","","DiOPT","Ensembl Compara|OrthoInspector|PANTHER","3","9"
"ABP1","YCR088W","Actin Binding Protein","DBN1","drebrin 1","H. sapiens","1627","126660","","","DiOPT","Ensembl Compara|Hieranoid|InParanoid|PANTHER","4","9"
"ABP1","YCR088W","Actin Binding Protein","DBNL","drebrin-like","H. sapiens","28988","610106","","","DiOPT","OrthoInspector|OMA|OrthoFinder|Hieranoid|PANTHER|Ensembl Compara|InParanoid","7","9"
"ABP1","YCR088W","Actin Binding Protein","HCLS1","hematopoietic cell-specific Lyn substrate 1","H. sapiens","3059","601306","","","DiOPT","Ensembl Compara|OrthoInspector|PANTHER","3","9"
"ABP140","YOR239W","Actin Binding Protein","METTL2B","methyltransferase like 2B","H. sapiens","55798","607846","","","DiOPT","OrthoInspector|OrthoFinder|SonicParanoid|PANTHER|Ensembl Compara","5","9"
"ABP140","YOR239W","Actin Binding Protein","METTL8","methyltransferase like 8","H. sapiens","79828","609525","","","DiOPT","Ensembl Compara|OrthoInspector|PANTHER|OrthoFinder","4","9"
"ACA1","YER045C","ATF/CREB Activator","ATF2","activating transcription factor 2","H. sapiens","1386","123811","","","DiOPT","Ensembl Compara|Hieranoid|InParanoid|PANTHER","4","9"
"ACA1","YER045C","ATF/CREB Activator","ATF7","activating transcription factor 7","H. sapiens","11016","606371","","","DiOPT","Ensembl Compara|Hieranoid|InParanoid|PANTHER","4","9"
"ACB1","YGR037C","Acyl-CoA-Binding","DBI","diazepam binding inhibitor (GABA receptor modulator, acyl-CoA binding protein)","H. sapiens","1622","125950","","","DiOPT","OrthoInspector|OMA|SonicParanoid|Hieranoid|PANTHER|Ensembl Compara|InParanoid","7","9"
"ACC1","YNR016C","Acetyl-CoA Carboxylase","ACACA","acetyl-CoA carboxylase alpha","H. sapiens","31","200350","613933","ACETYL-CoA CARBOXYLASE DEFICIENCY; ACACAD","DiOPT","OrthoInspector|OMA|OrthoFinder|Hieranoid|SonicParanoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"ACC1","YNR016C","Acetyl-CoA Carboxylase","ACACB","acetyl-CoA carboxylase beta","H. sapiens","32","601557","","","DiOPT","OrthoInspector|OMA|OrthoFinder|Hieranoid|SonicParanoid|PhylomeDB|PANTHER|InParanoid","8","9"
"ACK1","YDL203C","Activator of C Kinase","KIAA0141","KIAA0141","H. sapiens","9812","615741","","","DiOPT","Ensembl Compara|OrthoFinder","2","9"
"ACO1","YLR304C","ACOnitase","ACO2","aconitase 2, mitochondrial","H. sapiens","50","100850","616289","OPTIC ATROPHY 8; OPA8","DiOPT","OrthoInspector|OMA|OrthoFinder|Hieranoid|SonicParanoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"ACO1","YLR304C","ACOnitase","ACO2","aconitase 2, mitochondrial","H. sapiens","50","100850","614559","INFANTILE CEREBELLAR-RETINAL DEGENERATION; ICRD","DiOPT","OrthoInspector|OMA|OrthoFinder|Hieranoid|SonicParanoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"ACP1","YKL192C","Acyl Carrier Protein","NDUFAB1","NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa","H. sapiens","4706","603836","","","DiOPT","OrthoInspector|OrthoFinder|SonicParanoid|Ensembl Compara|InParanoid","5","9"
"ACS1","YAL054C","Acetyl CoA Synthetase","ACSS1","acyl-CoA synthetase short-chain family member 1","H. sapiens","84532","614355","","","DiOPT","OrthoInspector|OMA|OrthoFinder|Hieranoid|PhylomeDB|PANTHER|Ensembl Compara","7","9"
"ACS1","YAL054C","Acetyl CoA Synthetase","ACSS2","acyl-CoA synthetase short-chain family member 2","H. sapiens","55902","605832","","","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|PANTHER|InParanoid","6","9"
"ACS2","YLR153C","Acetyl CoA Synthetase","ACSS1","acyl-CoA synthetase short-chain family member 1","H. sapiens","84532","614355","","","DiOPT","OrthoInspector|OMA|OrthoFinder|Hieranoid|PhylomeDB|PANTHER|Ensembl Compara","7","9"
"ACS2","YLR153C","Acetyl CoA Synthetase","ACSS2","acyl-CoA synthetase short-chain family member 2","H. sapiens","55902","605832","","","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|PANTHER|InParanoid","6","9"
"ACT1","YFL039C","ACTin","ACTA1","actin, alpha 1, skeletal muscle","H. sapiens","58","102610","255310","MYOPATHY, CONGENITAL, WITH FIBER-TYPE DISPROPORTION; CFTD","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|InParanoid","7","9"
"ACT1","YFL039C","ACTin","ACTA1","actin, alpha 1, skeletal muscle","H. sapiens","58","102610","161800","NEMALINE MYOPATHY 3; NEM3 MYOPATHY, ACTIN, CONGENITAL, WITH EXCESS OF THIN MYOFILAMENTS, INCLUDED","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|InParanoid","7","9"
"ACT1","YFL039C","ACTin","ACTA2","actin, alpha 2, smooth muscle, aorta","H. sapiens","59","102620","613834","MULTISYSTEMIC SMOOTH MUSCLE DYSFUNCTION SYNDROME","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|InParanoid","7","9"
"ACT1","YFL039C","ACTin","ACTA2","actin, alpha 2, smooth muscle, aorta","H. sapiens","59","102620","614042","MOYAMOYA DISEASE 5; MYMY5","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|InParanoid","7","9"
"ACT1","YFL039C","ACTin","ACTA2","actin, alpha 2, smooth muscle, aorta","H. sapiens","59","102620","611788","AORTIC ANEURYSM, FAMILIAL THORACIC 6; AAT6","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|InParanoid","7","9"
"ACT1","YFL039C","ACTin","ACTB","actin, beta","H. sapiens","60","102630","243310","BARAITSER-WINTER SYNDROME 1; BRWS1","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"ACT1","YFL039C","ACTin","ACTB","actin, beta","H. sapiens","60","102630","607371","DYSTONIA, JUVENILE-ONSET; DJO","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"ACT1","YFL039C","ACTin","ACTBL2","actin, beta-like 2","H. sapiens","345651","614835","","","DiOPT","OrthoInspector|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|PANTHER|InParanoid","7","9"
"ACT1","YFL039C","ACTin","ACTC1","actin, alpha, cardiac muscle 1","H. sapiens","70","102540","613424","CARDIOMYOPATHY, DILATED, 1R; CMD1R LEFT VENTRICULAR NONCOMPACTION 4, INCLUDED; LVNC4, INCLUDED","DiOPT","OrthoInspector|OMA|OrthoFinder|Hieranoid|SonicParanoid|PhylomeDB|InParanoid","7","9"
"ACT1","YFL039C","ACTin","ACTC1","actin, alpha, cardiac muscle 1","H. sapiens","70","102540","612098","CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 11; CMH11","DiOPT","OrthoInspector|OMA|OrthoFinder|Hieranoid|SonicParanoid|PhylomeDB|InParanoid","7","9"
"ACT1","YFL039C","ACTin","ACTC1","actin, alpha, cardiac muscle 1","H. sapiens","70","102540","612794","ATRIAL SEPTAL DEFECT 5; ASD5","DiOPT","OrthoInspector|OMA|OrthoFinder|Hieranoid|SonicParanoid|PhylomeDB|InParanoid","7","9"
"ACT1","YFL039C","ACTin","ACTG1","actin gamma 1","H. sapiens","71","102560","604717","DEAFNESS, AUTOSOMAL DOMINANT 20; DFNA20","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"ACT1","YFL039C","ACTin","ACTG1","actin gamma 1","H. sapiens","71","102560","614583","BARAITSER-WINTER SYNDROME 2; BRWS2","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"ACT1","YFL039C","ACTin","ACTG2","actin, gamma 2, smooth muscle, enteric","H. sapiens","72","102545","155310","VISCERAL MYOPATHY; VSCM","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|InParanoid","7","9"
"ACT1","YFL039C","ACTin","POTEKP","POTE ankyrin domain family, member K, pseudogene","H. sapiens","440915","611266","","","DiOPT","OrthoFinder|SonicParanoid|PhylomeDB|PANTHER|InParanoid","5","9"
"ADA2","YDR448W","transcriptional ADAptor","TADA2A","transcriptional adaptor 2A","H. sapiens","6871","602276","","","DiOPT","OrthoInspector|OrthoFinder|Hieranoid|PANTHER|InParanoid","5","9"
"ADA2","YDR448W","transcriptional ADAptor","TADA2B","transcriptional adaptor 2B","H. sapiens","93624","608790","","","DiOPT","OMA|OrthoFinder|Hieranoid|SonicParanoid|PANTHER|Ensembl Compara","6","9"
"ADD66","YKL206C","Alpha1-proteinase inhibitor-Degradation Deficient","PSMG2","proteasome (prosome, macropain) assembly chaperone 2","H. sapiens","56984","609702","","","DiOPT","Hieranoid|PANTHER|Ensembl Compara|OrthoFinder","4","9"
"ADE1","YAR015W","ADEnine requiring","PAICS","phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase","H. sapiens","10606","172439","","","DiOPT","OrthoInspector|OrthoFinder|Hieranoid|Ensembl Compara|InParanoid","5","9"
"ADE12","YNL220W","ADEnine requiring","ADSS","adenylosuccinate synthase","H. sapiens","159","103060","","","DiOPT","OrthoInspector|OMA|OrthoFinder|Hieranoid|SonicParanoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"ADE12","YNL220W","ADEnine requiring","ADSSL1","adenylosuccinate synthase like 1","H. sapiens","122622","612498","","","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|PANTHER|InParanoid","8","9"
"ADE13","YLR359W","ADEnine requiring","ADSL","adenylosuccinate lyase","H. sapiens","158","608222","103050","ADENYLOSUCCINASE DEFICIENCY","DiOPT","OrthoInspector|OMA|OrthoFinder|Hieranoid|SonicParanoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"ADE16","YLR028C","ADEnine","ATIC","5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase","H. sapiens","471","601731","608688","AICAR TRANSFORMYLASE/IMP CYCLOHYDROLASE DEFICIENCY","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"ADE17","YMR120C","ADEnine","ATIC","5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase","H. sapiens","471","601731","608688","AICAR TRANSFORMYLASE/IMP CYCLOHYDROLASE DEFICIENCY","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"ADE3","YGR204W","ADEnine requiring","MTHFD1","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase","H. sapiens","4522","172460","601634","NEURAL TUBE DEFECTS, FOLATE-SENSITIVE; NTDFS","DiOPT","OrthoInspector|OMA|OrthoFinder|Hieranoid|SonicParanoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"ADE3","YGR204W","ADEnine requiring","MTHFD1L","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like","H. sapiens","25902","611427","","","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"ADE4","YMR300C","ADEnine requiring","PPAT","phosphoribosyl pyrophosphate amidotransferase","H. sapiens","5471","172450","","","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|Ensembl Compara|InParanoid","8","9"
"ADE57","YGL234W","ADEnine requiring","GART","phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase","H. sapiens","2618","138440","","","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|PANTHER|InParanoid","8","9"
"ADE6","YGR061C","ADEnine requiring","PFAS","phosphoribosylformylglycinamidine synthase","H. sapiens","5198","602133","","","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"ADH4","YGL256W","Alcohol DeHydrogenase","ADHFE1","alcohol dehydrogenase, iron containing, 1","H. sapiens","137872","611083","","","DiOPT","OrthoInspector|OrthoFinder|Hieranoid|Ensembl Compara|InParanoid","5","9"
"ADI1","YMR009W","Acireductone DIoxygenase","ADI1","acireductone dioxygenase 1","H. sapiens","55256","613400","","","DiOPT","OrthoInspector|OMA|OrthoFinder|Hieranoid|SonicParanoid|PANTHER|Ensembl Compara|InParanoid","8","9"
"ADK1","YDR226W","ADenylate Kinase","AK2","adenylate kinase 2","H. sapiens","204","103020","267500","RETICULAR DYSGENESIS","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"ADK2","YER170W","ADenylate Kinase","AK3","adenylate kinase 3","H. sapiens","50808","609290","","","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|PANTHER|InParanoid","8","9"
"ADK2","YER170W","ADenylate Kinase","AK4","adenylate kinase 4","H. sapiens","205","103030","","","DiOPT","OrthoInspector|OMA|OrthoFinder|Hieranoid|SonicParanoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"ADO1","YJR105W","ADenOsine kinase","ADK","adenosine kinase","H. sapiens","132","102750","614300","HYPERMETHIONINEMIA DUE TO ADENOSINE KINASE DEFICIENCY","DiOPT","OrthoInspector|OMA|OrthoFinder|Hieranoid|SonicParanoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"ADP1","YCR011C","ATP-Dependent Permease","ABCG2","ATP-binding cassette, sub-family G (WHITE), member 2 (Junior blood group)","H. sapiens","9429","603756","614490","BLOOD GROUP, JUNIOR SYSTEM; JR","DiOPT","OrthoInspector|OrthoFinder|Hieranoid|SonicParanoid|InParanoid","5","9"
"ADP1","YCR011C","ATP-Dependent Permease","ABCG2","ATP-binding cassette, sub-family G (WHITE), member 2 (Junior blood group)","H. sapiens","9429","603756","138900","URIC ACID CONCENTRATION, SERUM, QUANTITATIVE TRAIT LOCUS 1; UAQTL1","DiOPT","OrthoInspector|OrthoFinder|Hieranoid|SonicParanoid|InParanoid","5","9"
"AFG2","YLR397C","ATPase Family Gene","SPATA5","spermatogenesis associated 5","H. sapiens","166378","613940","616577","EPILEPSY, HEARING LOSS, AND MENTAL RETARDATION SYNDROME; EHLMRS","DiOPT","OrthoInspector|OrthoFinder|Hieranoid|SonicParanoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","8","9"
"AFG3","YER017C","ATPase Family Gene","AFG3L2","AFG3-like AAA ATPase 2","H. sapiens","10939","604581","614487","SPASTIC ATAXIA 5, AUTOSOMAL RECESSIVE; SPAX5","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"AFG3","YER017C","ATPase Family Gene","AFG3L2","AFG3-like AAA ATPase 2","H. sapiens","10939","604581","610246","SPINOCEREBELLAR ATAXIA 28; SCA28","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"AGC1","YPR021C","Aspartate-Glutamate Carrier","SLC25A12","solute carrier family 25 (aspartate/glutamate carrier), member 12","H. sapiens","8604","603667","612949","HYPOMYELINATION, GLOBAL CEREBRAL","DiOPT","OrthoInspector|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|PANTHER|Ensembl Compara","7","9"
"AGC1","YPR021C","Aspartate-Glutamate Carrier","SLC25A13","solute carrier family 25 (aspartate/glutamate carrier), member 13","H. sapiens","10165","603859","603471","CITRULLINEMIA, TYPE II, ADULT-ONSET; CTLN2","DiOPT","OrthoInspector|OrthoFinder|Hieranoid|SonicParanoid|PhylomeDB|PANTHER|Ensembl Compara","7","9"
"AGC1","YPR021C","Aspartate-Glutamate Carrier","SLC25A13","solute carrier family 25 (aspartate/glutamate carrier), member 13","H. sapiens","10165","603859","605814","CITRULLINEMIA, TYPE II, NEONATAL-ONSET","DiOPT","OrthoInspector|OrthoFinder|Hieranoid|SonicParanoid|PhylomeDB|PANTHER|Ensembl Compara","7","9"
"AGE1","YDR524C","Arf Gap with Effector function(s)","ACAP1","ArfGAP with coiled-coil, ankyrin repeat and PH domains 1","H. sapiens","9744","607763","","","DiOPT","Ensembl Compara|PANTHER","2","9"
"AGE1","YDR524C","Arf Gap with Effector function(s)","ASAP1","ArfGAP with SH3 domain, ankyrin repeat and PH domain 1","H. sapiens","50807","605953","","","DiOPT","Ensembl Compara|OrthoFinder","2","9"
"AGE1","YDR524C","Arf Gap with Effector function(s)","ASAP2","ArfGAP with SH3 domain, ankyrin repeat and PH domain 2","H. sapiens","8853","603817","","","DiOPT","Ensembl Compara|OrthoFinder","2","9"
"AGE1","YDR524C","Arf Gap with Effector function(s)","ASAP3","ArfGAP with SH3 domain, ankyrin repeat and PH domain 3","H. sapiens","55616","616594","","","DiOPT","Ensembl Compara|OrthoFinder","2","9"
"AGE2","YIL044C","ArfGAP Effector","AGFG2","ArfGAP with FG repeats 2","H. sapiens","3268","604019","","","DiOPT","Ensembl Compara|PhylomeDB|Hieranoid","3","9"
"AGE2","YIL044C","ArfGAP Effector","SMAP1","small ArfGAP 1","H. sapiens","60682","611372","","","DiOPT","OrthoInspector|SonicParanoid|PANTHER|Ensembl Compara|InParanoid","5","9"
"AGP1","YCL025C","high-Affinity Glutamine Permease","SLC7A1","solute carrier family 7 (cationic amino acid transporter, y+ system), member 1","H. sapiens","6541","104615","","","DiOPT","SonicParanoid|Ensembl Compara|InParanoid","3","9"
"AGP1","YCL025C","high-Affinity Glutamine Permease","SLC7A14","solute carrier family 7, member 14","H. sapiens","57709","615720","615725","RETINITIS PIGMENTOSA 68; RP68","DiOPT","Ensembl Compara|OrthoInspector|InParanoid|SonicParanoid","4","9"
"AGP1","YCL025C","high-Affinity Glutamine Permease","SLC7A2","solute carrier family 7 (cationic amino acid transporter, y+ system), member 2","H. sapiens","6542","601872","","","DiOPT","SonicParanoid|Ensembl Compara|InParanoid","3","9"
"AGP1","YCL025C","high-Affinity Glutamine Permease","SLC7A3","solute carrier family 7 (cationic amino acid transporter, y+ system), member 3","H. sapiens","84889","300443","","","DiOPT","SonicParanoid|Ensembl Compara|InParanoid","3","9"
"AGP1","YCL025C","high-Affinity Glutamine Permease","SLC7A4","solute carrier family 7, member 4","H. sapiens","6545","603752","","","DiOPT","Ensembl Compara|InParanoid|SonicParanoid","3","9"
"AGP2","YBR132C","high-Affinity Glutamine Permease","SLC7A1","solute carrier family 7 (cationic amino acid transporter, y+ system), member 1","H. sapiens","6541","104615","","","DiOPT","SonicParanoid|Ensembl Compara|InParanoid","3","9"
"AGP2","YBR132C","high-Affinity Glutamine Permease","SLC7A14","solute carrier family 7, member 14","H. sapiens","57709","615720","615725","RETINITIS PIGMENTOSA 68; RP68","DiOPT","SonicParanoid|Ensembl Compara|InParanoid","3","9"
"AGP2","YBR132C","high-Affinity Glutamine Permease","SLC7A2","solute carrier family 7 (cationic amino acid transporter, y+ system), member 2","H. sapiens","6542","601872","","","DiOPT","Ensembl Compara|InParanoid|SonicParanoid","3","9"
