"Protein","number_of_AA_covered"
"Q02486",42
"Q02629",46
"Q02630",30
"Q02642",147
"Q02647",70
"Q02725",25
"Q02772",9
"Q02775",11
"Q02776",57
"Q02784",104
"Q02805",11
"Q02821",30
"Q02875",29
"Q02884",15
"Q02892",10
"Q02959",26
"Q03016",39
"Q03020",80
"Q03048",140
"Q03063",65
"Q03088",214
"Q03102",39
"Q03161",259
"Q03195",16
"Q03219",34
"Q03233",58
"Q03290",36
"Q03323",77
"Q03373",23
"Q03375",11
"Q03390",102
"Q03435",17
"Q03497",104
"Q03529",60
"Q03532",20
"Q03533",23
"Q03558",376
"Q03559",97
"Q03629",144
"Q03640",57
"Q03655",101
"Q03661",53
"Q03667",73
"Q03677",142
"Q03690",100
"Q03707",38
"Q03759",65
"Q03761",46
"Q03769",107
"Q03772",53
"Q03780",17
"Q03790",72
"Q03835",150
"Q03919",59
"Q03954",26
"Q03973",153
"Q04031",13
"Q04067",181
"Q04121",30
"Q04170",37
"Q04178",191
"Q04201",29
"Q04225",17
"Q04279",166
"Q04304",77
"Q04307",19
"Q04322",30
"Q04336",28
"Q04338",29
"Q04341",32
"Q04344",142
"Q04347",8
"Q04371",38
"Q04409",34
"Q04410",56
"Q04432",201
"Q04439",82
"Q04477",56
"Q04491",218
"Q04500",66
"Q04602",31
"Q04603",57
"Q04636",31
"Q04660",28
"Q04728",50
"Q04773",117
"Q04839",36
"Q04869",306
"Q04894",331
"Q04934",19
"Q04947",97
"Q04951",70
"Q05016",201
"Q05022",68
"Q05029",51
"Q05040",33
"Q05050",186
"Q05506",113
"Q05515",90
"Q05518",132
"Q05543",15
"Q05580",16
"Q05584",240
"Q05775",178
"Q05785",260
"Q05789",20
"Q05809",17
"Q05812",52
"Q05905",238
"Q05911",182
"Q05926",56
"Q05942",110
"Q05979",23
"Q06011",31
"Q06103",23
"Q06106",82
"Q06132",16
"Q06146",215
"Q06151",52
"Q06169",33
"Q06177",18
"Q06178",24
"Q06205",60
"Q06214",9
"Q06252",201
"Q06321",48
"Q06336",88
"Q06344",85
"Q06406",62
"Q06407",30
"Q06440",277
"Q06449",184
"Q06451",24
"Q06505",104
"Q06511",103
"Q06523",69
"Q06580",17
"Q06604",36
"Q06608",108
"Q06616",20
"Q06672",55
"Q06677",75
"Q06682",43
"Q06685",54
"Q06689",15
"Q06697",48
"Q06704",147
"Q06708",16
"Q06709",22
"Q06833",26
"Q06835",83
"Q07362",76
"Q07418",123
"Q07451",29
"Q07478",151
"Q07505",73
"Q07540",95
"Q07549",25
"Q07551",301
"Q07623",84
"Q07653",39
"Q07657",42
"Q07807",22
"Q07915",12
"Q08045",105
"Q08179",80
"Q08193",110
"Q08199",20
"Q08208",59
"Q08220",96
"Q08225",37
"Q08229",96
"Q08230",68
"Q08245",95
"Q08269",14
"Q08273",81
"Q08281",39
"Q08412",335
"Q08421",16
"Q08422",62
"Q08438",66
"Q08444",11
"Q08492",98
"Q08548",13
"Q08561",34
"Q08601",41
"Q08641",128
"Q08686",61
"Q08723",53
"Q08742",95
"Q08745",47
"Q08746",93
"Q08826",22
"Q08921",88
"Q08923",55
"Q08951",48
"Q08954",38
"Q08966",15
"Q08967",28
"Q08971",96
"Q08972",92
"Q08985",113
"Q10740",95
"Q12000",100
"Q12008",144
"Q12030",46
"Q12032",39
"Q12040",171
"Q12044",111
"Q12055",11
"Q12056",39
"Q12063",14
"Q12068",291
"Q12074",223
"Q12080",34
"Q12091",44
"Q12109",78
"Q12114",159
"Q12117",19
"Q12118",303
"Q12122",66
"Q12136",46
"Q12154",110
"Q12156",101
"Q12159",130
"Q12163",25
"Q12165",45
"Q12176",10
"Q12178",136
"Q12186",50
"Q12189",127
"Q12191",97
"Q12211",22
"Q12213",32
"Q12230",240
"Q12234",28
"Q12250",9
"Q12265",10
"Q12271",90
"Q12276",82
"Q12285",56
"Q12287",30
"Q12288",29
"Q12296",73
"Q12305",136
"Q12306",97
"Q12314",146
"Q12320",60
"Q12326",127
"Q12329",61
"Q12335",102
"Q12344",15
"Q12349",41
"Q12355",16
"Q12363",396
"Q12368",9
"Q12408",39
"Q12416",43
"Q12420",35
"Q12425",33
"Q12427",20
"Q12434",155
"Q12443",44
"Q12446",34
"Q12447",148
"Q12449",114
"Q12451",18
"Q12453",33
"Q12458",286
"Q12460",101
"Q12464",38
"Q12481",12
"Q12489",19
"Q12494",65
"Q12498",18
"Q12499",60
"Q12500",16
"Q12513",62
"Q12515",179
"Q12518",34
"Q12522",154
"Q12525",16
"Q12532",41
"Q12680",22
"Q12690",30
"Q12692",21
"Q3E6R5",17
"Q3E754",23
"Q3E764",38
"Q3E772",19
"Q3E784",31
"Q3E793",20
"Q3E7B7",12
"Q3E7X9",12
"Q3E7Z5",61
"Q3E829",24
"Q3E830",41
"Q3E833",45
"Q3E841",97
"Q3E846",27
"Q6Q546",30
"Q6Q547",42
"Q6Q5K6",21
"Q86ZR7",178
"Q92317",72
"Q92331",20
"Q96VH4",188
"Q99176",15
"Q99207",60
"Q99216",28
"Q99258",208
"Q99271",39
"Q99321",123
"Q99383",381
"Q9P305",90
