Entry,Gene names,Protein names
P25635,PWP2 UTP1 YCR057C YCR55C/YCR57C/YCR58C,Periodic tryptophan protein 2 (U three protein 1) (U3 small nucleolar RNA-associated protein 1) (U3 snoRNA-associated protein 1)
P07259,URA2 YJL130C J0686,Protein URA2 [Includes: Glutamine-dependent carbamoyl-phosphate synthase (EC 6.3.5.5); Aspartate carbamoyltransferase (EC 2.1.3.2)]
P01119,RAS1 YOR101W YOR3205W,Ras-like protein 1 (EC 3.6.5.2)
P41056,RPL33B RPL37B YOR234C O5224,60S ribosomal protein L33-B (L37) (Large ribosomal subunit protein eL33-B) (RP47) (YL37)
Q12224,RLM1 YPL089C LPG19C,Transcription factor RLM1
Q07829,RRT7 YLL030C L0932,Regulator of rDNA transcription protein 7
P46784,RPS10B YMR230W YM9959.12,40S ribosomal protein S10-B (Small ribosomal subunit protein eS10-B)
P32608,RTG2 YGL252C NRF588,Retrograde regulation protein 2
P17558,PET123 YOR158W,"37S ribosomal protein PET123, mitochondrial (Mitochondrial small ribosomal subunit protein mS26)"
P14693,SAM35 OMP85 TOB38 TOM38 YHR083W,Sorting assembly machinery 35 kDa subunit (Mitochondrial 38 kDa outer membrane protein) (TOB complex 38 kDa subunit)
Q12136,SAS10 UTP3 YDL153C D1545,Something about silencing protein 10 (U three protein 3) (U3 small nucleolar RNA-associated protein 3) (U3 snoRNA-associated protein 11)
P22214,SEC22 SLY2 TSL26 YLR268W L8479.3,Protein transport protein SEC22 (Suppressor of loss of YPT1 protein 2)
P14906,SEC63 NPL1 PTL1 YOR254C,Protein translocation protein SEC63 (Protein NPL1) (Sec62/63 complex 73 kDa subunit)
Q04002,SCC2 YDR180W YD9395.14,Sister chromatid cohesion protein 2
Q12369,SFI1 YLL003W L1373,Protein SFI1 (Suppressor of fermentation induced loss of stress resistance protein 1)
Q08817,SOG2 YOR353C,Leucine-rich repeat-containing protein SOG2
P53953,SFB2 ISS1 YNL049C N2505 YNL2505C,SED5-binding protein 2 (SEC24-related protein 2)
P53438,SOK2 YMR016C YM9711.03C,Protein SOK2
P40092,SPI1 YER150W,Uncharacterized cell wall protein SPI1 (Stationary phase-induced protein 1)
P11325,NAM2 MSL1 YLR382C L3502.6,"Leucine--tRNA ligase, mitochondrial (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)"
Q08749,TIM18 YOR297C,Mitochondrial import inner membrane translocase subunit TIM18
P07277,ERG12 RAR1 YMR208W YM8261.02,Mevalonate kinase (MK) (MvK) (EC 2.7.1.36) (Ergosterol biosynthesis protein 12) (Regulation of autonomous replication protein 1)
P32435,MF(ALPHA)2 MF-ALPHA-2 MFAL2 YGL089C,Mating factor alpha-2 (Alpha-2 mating pheromone) [Cleaved into: Mating factor alpha; Mating factor alpha-like]
Q07684,MFG1 YDL233W,Morphogenetic regulator of filamentous growth protein 1
P40356,PGD1 HRS1 MED3 YGL025C,Mediator of RNA polymerase II transcription subunit 3 (Hyper-recombination suppressor protein 1) (Mediator complex subunit 3) (Poly-glutamine domain protein 1)
P38335,MTC4 YBR255W YBR1723,Maintenance of telomere capping protein 4
P0CE92,PAU8 YAL068C,Seripauperin-8
P25580,PBN1 YCL052C YCL52C,Protein PBN1 (Protease B non-derepressible protein 1)
P50947,PHO23 YNL097C N2205,Transcriptional regulatory protein PHO23
P14242,PMS1 YNL082W N2317,DNA mismatch repair protein PMS1 (Postmeiotic segregation protein 1)
P32598,GLC7 CID1 DIS2 YER133W,Serine/threonine-protein phosphatase PP1-2 (EC 3.1.3.16)
O13516,RPS9A RPS13A YS11A YPL081W,40S ribosomal protein S9-A (RP21) (S13) (Small ribosomal subunit protein uS4-A) (YP28) (YS11)
P53236,RSC1 YGR056W,Chromatin structure-remodeling complex subunit RSC1 (RSC complex subunit RSC1) (Remodel the structure of chromatin complex subunit 1)
Q02206,RSC4 YKR008W YK107,Chromatin structure-remodeling complex subunit RSC4 (RSC complex subunit RSC4) (Remodel the structure of chromatin complex subunit 4)
O14464,RTC6 TAE4 YPL183W-A YPL183BW,"54S ribosomal protein RTC6, mitochondrial (Mitochondrial large ribosomal subunit protein bL36m) (Restriction of telomere capping protein 6) (Translation associated element 4)"
P33330,SER1 SERC YOR184W,Phosphoserine aminotransferase (PSAT) (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase)
P50278,SOL1 YNR034W N3291,6-phosphogluconolactonase-like protein 1
P38282,SPP381 YBR152W YBR1202,Pre-mRNA-splicing factor SPP381 (Suppressor of PRP38-1 mutation)
P53266,SHY1 YGR112W G6150,Cytochrome oxidase assembly protein SHY1 (SURF1 homolog of Yeast) (SURF1-like protein)
Q06091,SNT309 NTC25 YPR101W,Pre-mRNA-splicing factor SNT309 (PRP19-associated complex protein 25) (Synergistic to PRP19 mutation protein 309)
P23201,SPA2 PEA1 YLL021W L1209,Protein SPA2
P36136,SHB17 YKR043C,"Sedoheptulose 1,7-bisphosphatase (EC 3.1.3.37)"
P25567,SRO9 YCL037C YCL37C,RNA-binding protein SRO9 (Suppressor of RHO3 protein 9)
P39926,SSO2 YMR183C YM8010.13C,Protein SSO2
Q04048,SYF1 NTC90 YDR416W,Pre-mRNA-splicing factor SYF1 (PRP19-associated complex protein 90) (Synthetic lethal with CDC40 protein 1)
P53215,THG1 YGR024C,tRNA(His) guanylyltransferase (EC 2.7.7.79) (tRNA-histidine guanylyltransferase)
Q12308,TFC8 YPL007C,Transcription factor tau 60 kDa subunit (TFIIIC 60 kDa subunit) (Transcription factor C subunit 8)
Q07904,THI73 YLR004C,Thiamine pathway transporter THI73
P35202,THI80 YOR143C YOR3373C,Thiamine pyrophosphokinase (TPK) (Thiamine kinase) (EC 2.7.6.2)
Q12218,TIR4 YOR009W UNB487,Cell wall protein TIR4 (TIP1-related protein 4)
P32613,TCA17 YEL048C SYGP-ORF36,TRAPP-associated protein TCA17 (17 kDa TRAPP complex-associated protein)
Q03533,TDA1 YMR291W,Serine/threonine-protein kinase TDA1 (Topoisomerase I damage affected protein 1) (EC 2.7.11.1)
Q06451,TPO3 YPR156C P9584.7,Polyamine transporter 3
Q04600,TMA64 YDR117C,Translation machinery-associated protein 64
P47168,TTI2 YJR136C J2124,TEL2-interacting protein 2
P53872,YNL190W N1415,Hydrophilin YNL190W
Q12428,PDH1 YPR002W LPZ2W YP9723.02,"Probable 2-methylcitrate dehydratase (2-MC dehydratase) (EC 4.2.1.79) ((2S,3S)-2-methylcitrate dehydratase)"
P33329,PPZ2 YDR436W D9461.22,Serine/threonine-protein phosphatase PP-Z2 (EC 3.1.3.16)
P25043,PUP1 YOR157C,Proteasome subunit beta type-2 (EC 3.4.25.1) (Macropain subunit PUP1) (Multicatalytic endopeptidase complex subunit PUP1) (Proteasome component PUP1) (Proteinase YSCE subunit PUP1)
P10363,PRI1 YIR008C YIB8C,DNA primase small subunit (EC 2.7.7.-) (DNA polymerase alpha:primase complex p48 subunit) (DNA polymerase-primase complex p48 subunit) (Pol alpha-primase complex p48 subunit) (DNA primase 48 kDa subunit)
Q9ZZW2,Q0144,"Putative uncharacterized protein Q0144, mitochondrial"
Q9ZZW1,Q0182 ORF11,"Putative uncharacterized protein Q0182, mitochondrial"
Q03956,RAV2 YDR202C YD9346.12C,Regulator of V-ATPase in vacuolar membrane protein 2
Q06109,RRG8 YPR116W,"Required for respiratory growth protein 8, mitochondrial"
P38766,RRM3 RTT104 YHR031C,ATP-dependent DNA helicase RRM3 (EC 3.6.4.12) (Regulation of Ty1 transposition protein 104) (rDNA recombination mutation protein 3)
P0CX52,RPS16B YDL083C,40S ribosomal protein S16-B (RP61R) (Small ribosomal subunit protein uS9-B)
P38165,RTG3 YBL103C YBL0810,Retrograde regulation protein 3
P46654,RPS0B NAB1B NAB4 YST2 YLR048W L2118,40S ribosomal protein S0-B (Nucleic acid-binding protein NAB1B) (Small ribosomal subunit protein uS2-B)
Q03919,RUB1 YDR139C YD9302.15C,NEDD8-like protein RUB1 (Related to ubiquitin protein 1) (Ubiquitin-like protein RUB1)
P53305,RSM27 YGR215W,Mitochondrial 37S ribosomal protein S27 (Mitochondrial small ribosomal subunit protein mS33)
P42847,MRPS18 YNL306W N0397,"37S ribosomal protein S18, mitochondrial (Mitochondrial small ribosomal subunit protein uS11m) (YmS18)"
P38804,RTC3 YHR087W,Restriction of telomere capping protein 3
Q05543,RTT103 YDR289C,Regulator of Ty1 transposition protein 103
P35179,SSS1 YDR086C D4475,Protein transport protein SSS1 (Sec61 complex subunit SSS1) (Sec61 complex subunit gamma) (Ssh1 complex subunit SSS1) (Ssh1 complex subunit gamma)
Q08986,SAM3 YPL274W,S-adenosylmethionine permease SAM3 (S-adenosylmethionine metabolism protein 3)
P53189,SCW11 YGL028C,Probable family 17 glucosidase SCW11 (EC 3.2.1.-) (Soluble cell wall protein 11)
P42223,SBE2 YDR351W D9476.7,Protein SBE2 (Suppressor of BEM4 protein 2)
Q08230,SDH5 EMI5 YOL071W,"Succinate dehydrogenase assembly factor 2, mitochondrial (SDH assembly factor 2) (SDHAF2)"
Q03323,SDC1 CPS25 SAF19 YDR469W,COMPASS component SDC1 (Complex proteins associated with SET1 protein SDC1) (Set1C component SDC1) (Suppressor of CDC25 protein 1)
P25365,SED4 YCR067C YCR67C YCR901,Putative guanine nucleotide-exchange factor SED4
Q99287,SEY1 YOR165W O3590,Protein SEY1 (EC 3.6.5.-) (Synthetic enhancer of YOP1 protein)
Q04053,SNX41 YDR425W,Sorting nexin-41
Q02775,SLU7 SLT17 YDR088C D4483,Pre-mRNA-splicing factor SLU7 (Synthetic lethal with U2 snRNA protein 17) (Synthetic lethal with U5 snRNA protein 7)
Q12306,SMT3 YDR510W D9719.15,Ubiquitin-like protein SMT3
Q07798,SPO75 YLL005C L1361,Sporulation-specific protein 75
P25554,SGF29 YCL010C YCL10C,SAGA-associated factor 29 (29 kDa SAGA-associated factor) (SAGA histone acetyltransferase complex 29 kDa subunit)
P40073,SHO1 SSU81 YER118C,High osmolarity signaling protein SHO1 (Osmosensor SHO1) (Suppressor of SUA8-1 mutation) (Synthetic high osmolarity-sensitive protein 1)
P33336,SKN1 YGR143W,Beta-glucan synthesis-associated protein SKN1
P38751,SHU1 YHL006C,Suppressor of HU sensitivity involved in recombination protein 1
P42843,SKP2 YNL311C N0376,F-box protein SKP2
Q12020,SRL2 YLR082C,Protein SRL2 (Suppressor of RAD53 null lethality protein 2)
Q05471,SWR1 YDR334W D9651.6,Helicase SWR1 (EC 3.6.4.12) (Swi2/Snf2-related 1)
P23615,SPT6 CRE2 SSN20 YGR116W G6169,Transcription elongation factor SPT6 (Chromatin elongation factor SPT6)
P46675,STU2 YLR045C L2108,Protein STU2 (Suppressor of tubulin 2)
Q12427,STB3 YDR169C YD9489.04c,Protein STB3 (SIN3-binding protein 3)
P08459,SPS2 YDR522C D9719.26,Sporulation-specific protein 2
P15179,MSD1 YPL104W LPG5W,"Aspartate--tRNA ligase, mitochondrial (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS)"
P18898,CDC43 CAL1 YGL155W G1864,Geranylgeranyl transferase type-1 subunit beta (GGTase-I-beta) (EC 2.5.1.59) (Cell division cycle protein 43) (Geranylgeranyl transferase type I subunit beta) (RAS proteins geranylgeranyltransferase subunit beta) (Type I protein geranyl-geranyltransferase subunit beta) (PGGTase I beta)
P32522,PET309 YLR067C L2189,"Pentatricopeptide repeat-containing protein PET309, mitochondrial"
P27616,ADE1 YAR015W,Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase)
P32863,RAD54 YGL163C G1821,DNA repair and recombination protein RAD54 (EC 3.6.4.12)
Q04779,RCO1 YMR075W YM9916.14,Transcriptional regulatory protein RCO1
A0A0B7P221,RDT1 YCL054W-A,Uncharacterized protein RDT1 (Ribosomally detected transcript 1)
Q04418,RBA50 YDR527W,RNA polymerase II-associated protein RBA50 (RNA polymerase II-associated protein of 50 kDa)
P40395,RIC1 YLR039C,Guanine nucleotide exchange factor subunit RIC1 (Protein RIC1) (Ribosome control protein 1) (Ric1p)
P32862,RGT1 YKL038W YKL251,Glucose transport transcription regulator RGT1 (Restores glucose transport protein 1)
Q08003,RFU1 YLR073C,Regulator of free ubiquitin chains 1
P48743,RFX1 CRT1 YLR176C L9470.18,RFX-like DNA-binding protein RFX1
P0CX86,RPL41A RPL47A YL41A YDL184C D1290,60S ribosomal protein L41-A (L47) (Large ribosomal subunit protein eL41-A) (YL41)
P17890,RPC31 ACP2 RPC8 YNL151C N1769,DNA-directed RNA polymerase III subunit RPC7 (RNA polymerase III subunit C7) (DNA-directed RNA polymerase III 31 kDa polypeptide) (C31)
P53064,RTF1 CSL3 YGL244W HRA458,RNA polymerase-associated protein RTF1
P33754,SEC66 HSS1 SEC71 YBR171W YBR1232,Translocation protein SEC66 (Protein HSS1) (Sec62/63 complex 31.5 kDa subunit)
P38345,SDH8 FMP21 YBR269C YBR1737,"Succinate dehydrogenase assembly factor 4, mitochondrial (SDH assembly factor 4) (SDHAF4) (Found in mitochondrial proteome protein 21)"
Q08581,SLK19 YOR195W,Kinetochore protein SLK19 (Synthetic lethal KAR3 protein 19)
Q04902,SNO4 HSP34 YMR322C YM9924.14C,Probable glutathione-independent glyoxalase SNO4 (EC 4.2.1.130) (Glyoxalase 3 homolog 4) (Heat shock protein 34) (SNZ proximal open reading frame 4)
P40031,SPO73 YER046W,Sporulation-specific protein 73
P40167,SLZ1 YNL196C N1386,Sporulation-specific with a leucine zipper motif protein 1
Q12118,SGT2 YOR007C UNF346,Small glutamine-rich tetratricopeptide repeat-containing protein 2 (SGT/UBP) (Viral protein U-binding protein)
P32566,SMI1 KNR4 KTR4 YGR229C G8553,Cell wall assembly regulator SMI1 (Killer toxin-resistance protein 4)
P38717,SIP3 LAM3 YNL257C N0844,Membrane-anchored lipid-binding protein SIP3 (Lipid transfer protein anchored at membrane contact sites 3) (SNF1-interacting protein 3)
P22579,SIN3 CPE1 GAM2 RPD1 SDI1 SDS16 UME4 YOL004W,Transcriptional regulatory protein SIN3
Q08673,SRL1 YOR247W,Cell wall protein SRL1
P40342,SWM2 YNR004W N2033,Nucleolar protein SWM2 (Synthetic With MUD2-delta protein 2)
P38789,SSF1 YHR066W,Ribosome biogenesis protein SSF1
P40164,PSY2 YNL201C N1366,Serine/threonine-protein phosphatase 4 regulatory subunit 3 (PP4R3)
P50109,PSP2 MRS15 YML017W YM9571.01,Protein PSP2 (Mitochondrial regulator of splicing 15) (Polymerase suppressor protein 2)
P37299,QCR10 YHR001W-A YHR001BW,"Cytochrome b-c1 complex subunit 10, mitochondrial (Complex III subunit 10) (Complex III subunit XI) (Ubiquinol-cytochrome c oxidoreductase subunit 10) (Ubiquinol-cytochrome c reductase 8.5 kDa protein)"
Q12188,REC8 SPO69 YPR007C LPZ7C,Meiotic recombination protein REC8 (Cohesin REC8) (Sporulation protein 69)
Q03530,RCE1 YMR274C YM8156.16C,CAAX prenyl protease 2 (EC 3.4.22.-) (Prenyl protein-specific endoprotease 2) (PPSEP 2) (Ras and A-factor-converting enzyme) (RACE)
Q12090,REX3 YLR107W L2904,RNA exonuclease 3 (EC 3.1.-.-)
P38883,RIX1 IPI2 YHR197W,Pre-rRNA-processing protein RIX1 (Involved in processing IST2 protein 2) (Ribosomal export protein 1)
P0CX83,RPL19B RPL23B YL14B YBL027W YBL0424,60S ribosomal protein L19-B (L23) (Large ribosomal subunit protein eL19) (RP15L) (RP33) (YL14)
P0CX43,RPL1A SSM1 SSM1A YPL220W,60S ribosomal protein L1-A (L10a) (Large ribosomal subunit protein uL1-A)
P05745,RPL36A RPL39A YMR194W YM9646.06,60S ribosomal protein L36-A (L39) (Large ribosomal subunit protein eL36-A) (YL39)
P36070,RRN3 YKL125W,RNA polymerase I-specific transcription initiation factor RRN3
P48164,RPS7B YNL096C N2212,40S ribosomal protein S7-B (Small ribosomal subunit protein eS7-B)
P36047,SDS22 EGP1 YKL193C,Protein phosphatase 1 regulatory subunit SDS22
P53313,SDA1 YGR245C,Protein SDA1 (Severe depolymerization of actin protein 1)
P39709,SEO1 YAL067C,Probable transporter SEO1
Q08826,SNX3 GRD19 YOR357C,Sorting nexin-3 (Golgi retention deficient protein 19)
Q12420,SNU66 YOR308C 05667,66 kDa U4/U6.U5 small nuclear ribonucleoprotein component
P33338,SLA2 END4 MOP2 UFG1 YNL243W N1102,Protein SLA2 (Transmembrane protein MOP2)
P46954,SIP4 YJL089W J0922,Protein SIP4
P38960,STN1 YDR082W D4456 YD8554.15,Protein STN1
P38985,SRP14 YDL092W D2404,Signal recognition particle subunit SRP14 (Signal recognition particle 14 kDa protein homolog)
P36069,PMU1 YKL128C,Probable phosphoglycerate mutase PMU1 (EC 5.4.-.-) (Phosphomutase homolog 1)
P38701,RPS20 URP2 YHL015W,40S ribosomal protein S20 (Small ribosomal subunit protein uS10)
P05756,RPS13 RPS13C YDR064W D4252 YD9609.18,40S ribosomal protein S13 (S27a) (Small ribosomal subunit protein uS15) (YS15)
P25443,RPS2 RPS4 SUP38 SUP44 YGL123W G2893,40S ribosomal protein S2 (Omnipotent suppressor protein SUP44) (RP12) (S4) (Small ribosomal subunit protein uS5) (YS5)
Q07979,RSC58 YLR033W,Chromatin structure-remodeling complex protein RSC58 (Remodel the structure of chromatin complex subunit 58)
P26783,RPS5 RPS2 YJR123W J2045,40S ribosomal protein S5 (RP14) (S2) (Small ribosomal subunit protein uS7) (YS8)
Q3E7X9,RPS28A RPS33 RPS33A YOR167C O3600,40S ribosomal protein S28-A (S33) (Small ribosomal subunit protein eS28-A) (YS27)
P0CX30,RPS23B RPS28B YPR132W P9659.9,40S ribosomal protein S23-B (RP37) (S28) (Small ribosomal subunit protein uS12-B) (YS14)
Q08985,SAM4 YPL273W,Homocysteine S-methyltransferase 2 (EC 2.1.1.10) (S-adenosylmethionine metabolism protein 4) (S-methylmethionine:homocysteine methyltransferase 2) (SMM:Hcy S-methyltransferase 2)
P40357,SEC9 HSS7 YGR009C,Protein transport protein SEC9
Q12158,MCD1 PDS3 RHC21 SCC1 YDL003W YD8119.04,Sister chromatid cohesion protein 1
Q00416,SEN1 YLR430W L9576.1,Helicase SEN1 (EC 3.6.4.-) (tRNA-splicing endonuclease positive effector)
P53011,SEH1 YGL100W,Nucleoporin SEH1 (Nuclear pore protein SEH1) (SEC13 homolog 1)
P40510,SER33 YIL074C,D-3-phosphoglycerate dehydrogenase 2 (3-PGDH 2) (EC 1.1.1.95) (2-oxoglutarate reductase) (EC 1.1.1.399)
P47008,SFH5 YJL145W J0644,Phosphatidylinositol transfer protein SFH5 (PITP SFH5) (SEC14 homolog 5)
P53304,SLI1 YGR212W,N-acetyltransferase SLI1 (EC 2.3.1.-) (Sphingosine-like immunosuppressant resistant protein 1)
Q04007,SND1 YDR186C,SRP-independent targeting protein 1
Q12483,SNF8 VPS22 YPL002C,Vacuolar-sorting protein SNF8 (ESCRT-II complex subunit VPS22) (Vacuolar protein-sorting-associated protein 22)
P39723,SPC72 LDB4 SPI6 YAL047C FUN42,Spindle pole component SPC72
Q08199,SIL1 PER100 SLS1 YOL031C,Nucleotide exchange factor SIL1 (Protein SLS1)
P53148,SPC105 YGL093W,Spindle pole body component SPC105 (105 kDa spindle pole component protein)
P38634,SIC1 SDB25 YLR079W L9449.8,Protein SIC1 (CDK inhibitor p40)
P36068,SHE2 YKL130C,SWI5-dependent HO expression protein 2
P17883,SKI3 YPR189W P9677.7,Superkiller protein 3
Q04172,SHE9 MDM33 YDR393W D9509.13,"Sensitive to high expression protein 9, mitochondrial (Mitochondrial distribution and morphology protein 33)"
P22215,SLY41 YOR307C O5663,Uncharacterized transporter SLY41
P41808,SMK1 YPR054W YP9499.10,Sporulation-specific mitogen-activated protein kinase SMK1 (MAP kinase SMK1) (EC 2.7.11.24)
P38699,STB5 YHR178W,Protein STB5
P31377,SYN8 UIP2 YAL014C FUN34,Syntaxin-8 (SNARE protein related to mammalian syntaxin 8) (ULP1-interacting protein 2)
Q8TGM6,TAR1 ART1 YLR154W-C YLR154W-A,Protein TAR1 (Transcript antisense to ribosomal RNA protein 1)
P38967,TAT2 LTG3 SAB2 SCM2 TAP2 YOL020W,Tryptophan permease (Tryptophan amino acid transporter)
P39933,PZF1 TFC2 TFIIIA YPR186C P9677.9,Transcription factor IIIA (TFIIIA) (Putative zinc finger protein 1)
P53147,TOS8 YGL096W,Homeobox protein TOS8 (Target of SBF 8)
Q12400,TRM10 YOL093W O0926,tRNA (guanine(9)-N1)-methyltransferase (EC 2.1.1.221) (tRNA methyltransferase 10) (tRNA(m1G9)-methyltransferase) (tRNA(m1G9)MTase)
Q03322,TLG1 YDR468C D8035.11,t-SNARE affecting a late Golgi compartment protein 1 (Syntaxin TLG1)
P40061,TSC11 AVO3 YER093C,Target of rapamycin complex 2 subunit TSC11 (TORC2 subunit TSC11) (Adheres voraciously to TOR2 protein 3) (Temperature-sensitive CSG2 suppressor protein 11)
P12695,LAT1 ODP2 PDA2 YNL071W N2374,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial (EC 2.3.1.12) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (Pyruvate dehydrogenase complex component E2) (PDC-E2) (PDCE2)"
Q06144,ORM2 YLR350W,Protein ORM2
P53124,PCL10 YGL134W G2838,PHO85 cyclin-10
P53427,PAU4 YLR461W L9122.1,Seripauperin-4
Q02969,PEX25 YPL112C,Peroxisomal membrane protein PEX25 (Peroxin-25)
P40091,PEA2 PPF2 YER149C,Protein PEA2 (Protein PPF2)
Q08961,RKM1 YPL208W,Ribosomal lysine N-methyltransferase 1 (EC 2.1.1.-)
Q03195,RLI1 YDR091C,Translation initiation factor RLI1 (ATP-binding cassette sub-family E member RLI1) (RNase L inhibitor)
P40693,RLP7 RPL7 YNL002C N2014,Ribosome biogenesis protein RLP7 (Ribosomal protein L7-like)
Q12530,RMP1 YLR145W,Ribonuclease MRP protein subunit RMP1 (RNA-processing protein RMP1) (RNase MRP 23.6 kDa subunit)
P11745,RNA1 YMR235C YM9959.17C,Ran GTPase-activating protein 1 (Protein involved in RNA production/processing)
P23369,MRPL25 YMR26 YGR076C,"54S ribosomal protein L25, mitochondrial (Mitochondrial large ribosomal subunit protein mL59) (YmL25)"
P32910,RPC34 YNR003C N2031,DNA-directed RNA polymerase III subunit RPC6 (RNA polymerase III subunit C6) (C34) (DNA-directed RNA polymerase III 36 kDa polypeptide)
Q08285,RRP40 YOL142W,Exosome complex component RRP40 (Ribosomal RNA-processing protein 40)
Q06510,TAZ1 YPR140W,Tafazzin (EC 2.3.1.-) (EC 2.3.1.23)
P43612,SAP155 YFR040W,SIT4-associating protein SAP155
P17121,SAC7 YDR389W,GTPase-activating protein SAC7
P53330,RTT102 YGR275W G9378,Regulator of Ty1 transposition protein 102
P03878,AI4 ENS2 I-SCEII Q0065,Intron-encoded DNA endonuclease aI4 (DNA endonuclease I-SceII) [Cleaved into: Truncated non-functional cytochrome oxidase 1; DNA endonuclease aI4 (EC 3.1.-.-) (Intron-encoded endonuclease I-SceII)]
Q06245,SEC10 YLR166C L9362.12,Exocyst complex component SEC10
P40054,SER3 YER081W,D-3-phosphoglycerate dehydrogenase 1 (3-PGDH 1) (EC 1.1.1.95) (2-oxoglutarate reductase) (EC 1.1.1.399)
Q05676,SOM1 YEL059C-A YEL059BC,"Protein SOM1, mitochondrial (Mitochondrial inner membrane protease subunit SOM1)"
Q04398,SPG3 YDR504C D9719.10,Stationary phase protein 3
P38200,SHE1 YBL031W YBL0420,Mitotic spindle-associated protein SHE1 (Sensitive to high expression protein 1)
P43682,SFT1 YKL006C-A YKL006BC,Protein transport protein SFT1 (P14)
Q12078,SMF3 YLR034C,Iron transporter SMF3
P32828,SLX5 HEX3 YDL013W D2875,E3 ubiquitin-protein ligase complex SLX5-SLX8 subunit SLX5 (EC 2.3.2.27) (Hexose metabolism-related protein HEX3) (RING-type E3 ubiquitin transferase SLX5) (Synthetic lethal of unknown function protein 5)
Q08204,SMC5 YOL034W,Structural maintenance of chromosomes protein 5
P47821,SSN8 GIG3 NUT9 SRB11 UME3 YNL025C N2805,RNA polymerase II holoenzyme cyclin-like subunit (Suppressor of RNA polymerase B 11)
P22438,MSM1 YGR171C,"Methionine--tRNA ligase, mitochondrial (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)"
Q05027,TAF9 TAF17 YMR236W YM9959.18,Transcription initiation factor TFIID subunit 9 (TAFII-17) (TAFII20) (TBP-associated factor 17 kDa) (TBP-associated factor 9)
P27796,POT1 FOX3 POX3 YIL160C,"3-ketoacyl-CoA thiolase, peroxisomal (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase) (Peroxisomal 3-oxoacyl-CoA thiolase)"
P33315,TKL2 YBR117C YBR0912,Transketolase 2 (TK 2) (EC 2.2.1.1)
P32367,TFC1 YBR123C YBR0919,Transcription factor tau 95 kDa subunit (TFIIIC 95 kDa subunit) (Transcription factor C subunit 1)
Q07527,TRM3 YDL112W,tRNA (guanosine(18)-2'-O)-methyltransferase (EC 2.1.1.34) (tRNA [Gm18] ribose methylase) (tRNA methyltransferase 3)
Q05024,TRI1 YMR233W YM9959.15,Protein TRI1
P39704,ERP2 YAL007C FUN54,Protein ERP2
