Cluster,ComplexName
2,SCF-Ydr131c ubiquitin ligase complex|1|5;SCF-Cdc4 ubiquitin ligase complex|1|5;SCF-Grr1 ubiquitin ligase complex|1|5;SCF-Mdm30 ubiquitin ligase complex|1|5;SCF-Ufo1 ubiquitin ligase complex|1|5;SCF-Das1 ubiquitin ligase complex|1|5;SCF-Met30 ubiquitin ligase complex|1|5;SCF-Dia2 ubiquitin ligase complex|1|5;SCF-Ylr352w ubiquitin ligase complex|1|5;SCF-Saf1 ubiquitin ligase complex|1|5;SCF-Hrt3 ubiquitin ligase complex|1|5;CBF3 complex|1|4;RAVE complex|1|3
7,Nuclear pore complex|3|32
21,Nucleotide excision repair factor 4 complex|1|3
89,Vacuolar proton translocating ATPase complex, vacuole variant|8|14;Vacuolar proton translocating ATPase complex, Golgi variant|7|14
26,RAP1-GCR1-GCR2 transcription activation complex|1|3;Telosome|1|3;RAP1-GCR1 transcription activation complex|1|2
9,Mitochondrial pyruvate dehydrogenase complex|3|5;Glycine decarboxylase multienzyme complex|1|4;Mitochondrial 2-oxoglutarate dehydrogenase complex|1|4
177,HMC complex|6|7;HAP1 transcriptional repressor complex, SSA1 variant|3|4;HAP1 transcriptional repressor complex, SSA2 variant|3|4
39,Luminal surveillance complex|1|3
23,Peptide:N-glycanase-Rad23 complex|1|2;CDC48-CDC23-UFD2 complex|1|2;Nucleotide excision repair factor 2 complex|1|2
42,Ribosome quality control complex|1|6;CDC48-NPL4-UFD1 AAA ATPase complex|1|3;CDC48-NPL4-VMS1 AAA ATPase complex|1|3;CDC48-CDC23-UFD2 complex|1|1
28,COPII vesicle coat complex|3|4;SEC23-LST1 COPII cargo recruitment complex|1|2
13,SET3C histone deacetylase complex|1|7
12,Spindle pole body central plaque complex|1|4;Myosin class I complex, MYO5 variant|1|2;Myosin class I complex, MYO3 variant|1|2;Myosin class V complex, MYO4 variant|1|1;Myosin class V complex, MYO2 variant|1|1
3,TIM23 mitochondrial inner membrane pre-sequence translocase complex, motor variant|3|9;TIM23 mitochondrial inner membrane pre-sequence translocase complex, sort variant|1|5;COX1 pre-assembly complex|1|4;Endonuclease SceI|1|1
19,Myosin class II complex|1|3;Myosin class V complex, MYO4 variant|1|2;MIH complex|1|2;Myosin class V complex, MYO2 variant|1|1
168,40S cytosolic small ribosomal subunit|8|9
172,60S cytosolic large ribosomal subunit|5|10
301,ESCRT-III complex|1|4
192,TIM22 mitochondrial inner membrane twin-pore carrier translocase complex|2|6;TIM9-TIM10-TIM12 mitochondrial intermembrane space protein transporter complex|2|3;TIM9-TIM10 mitochondrial intermembrane space protein transporter complex|2|2
206,COPI vesicle coat complex|4|7
72,DNA-directed RNA polymerase III complex|4|17;DNA-directed RNA Polymerase I complex|4|14;DNA-directed RNA polymerase II complex|2|10
27,RENT complex|1|3
314,Prefoldin co-chaperone complex|4|6
120,Gin4 serine/threonine kinase complex|2|8;Septin complex|1|5
207,Exomer complex|1|5
316,PAF1 complex|2|5
210,TREX complex|2|7
25,Vesicular SNARE complex SSO2-SEC9-SNC2|1|3;Vesicular SNARE complex SSO2-SEC9-SNC1|1|3
53,1,3-beta-D-glucan synthase complex, FKS1-RHO1 variant|1|2;1,3-beta-D-glucan synthase complex, FKS2-RHO1 variant|1|2;1,3-beta-D-glucan synthase complex, FKS3-RHO1 variant|1|2
212,Eukaryotic translation initiation factor 3 core complex|4|5
282,GET4-GET5 transmembrane domain recognition complex|3|5
329,mRNA cleavage factor complex CF I|1|9
290,Chaperonin-containing T-complex|4|8
99,26S Proteasome complex|13|33
74,PMT1-PMT2 dolichyl-phosphate-mannose-protein mannosyltransferase complex|1|2;PMT1-PMT3 dolichyl-phosphate-mannose-protein mannosyltransferase complex|1|2
106,Mitochondrial proton-transporting ATP synthase complex|2|17
